"Fatburger","10955 Kinross Ave., Los Angeles, CA 90024",34.0601698,-118.446893
"Headlines Diner","10922 Kinross Ave., Los Angeles, CA 90024",34.0602128,-118.4462451
"Ike’s Place Sandwich Shop","1151 Westwood Blvd., Los Angeles, CA 90024",34.059713,-118.445118
"In-N-Out","922 Gayley Ave., Los Angeles, CA 90024",34.0630971,-118.4480814
"Jersey Mike’s","1020 Glendon Ave., Los Angeles, CA 90024",34.0616478,-118.4440926
"Napa Valley Grille","1100 Glendon Ave., Los Angeles, CA 90024",34.060327,-118.443735
"Noah’s Bagels","10910 Lindbrook Dr., Los Angeles, CA 90024",34.0593537,-118.4449115
"Skylight Gardens","1139 Glendon Ave., Los Angeles, CA 90024",34.0600409,-118.4439699
"Subway","1165 Westwood Blvd., Los Angeles, CA 90024",34.0593524,-118.4446902
"Tender Greens","1109 Glendon Ave., Los Angeles, CA 90024",34.0604948,-118.4445603
"The Boiling Crab","10875 Kinross Ave., Los Angeles, CA 90024",34.0609237,-118.4445698
"Hangry Moons","970 Gayley Ave., Los Angeles, CA 90024",34.0625802,-118.448037
"Trimana Grill UCLA Wilshire Center","10920 Wilshire Blvd., #1000, Los Angeles, CA 90024",34.0581554,-118.4446558
"Seventy7 West","1000 Gayley Ave., Los Angeles, CA 90024",34.0619406,-118.4476087
"Comoncy","10900 Wilshire Blvd. #170A, Los Angeles, CA 90024",34.0583327,-118.4440573
"Living Room Bar","930 Hilgard Ave., Los Angeles, CA 90024",34.0633123,-118.440862
"Audrey at the Hammer","10899 Wilshire Blvd., Los Angeles, CA 90024",34.0591217,-118.4436674
"Ami Japanese Restaurant & Sushi Bar","1051 Broxton Ave., Los Angeles, CA 90024",34.0615407,-118.446501
"First Szechuan Wok","10855 Lindbrook Dr., Los Angeles, CA 90024",34.0602663,-118.442803
"Flame Broiler","10948 Weyburn Ave., Los Angeles, CA 90024",34.0624602,-118.446854
"Gushi Korean BBQ & Teriyaki","978 Gayley Ave., Los Angeles, CA 90024",34.0622639,-118.4478882
"KazuNori Sushi Westwood","1110 Gayley Ave., Los Angeles, CA 90024",34.0599903,-118.4460647
"Mr. Noodle","936 Broxton Ave., Los Angeles, CA 90024",34.0629584,-118.4468617
"Northern Cafe Dumpling House","1064 Gayley Ave, Los Angeles, CA 90024",34.0609481,-118.4468735
"Meat Your Seoul","1101 Gayley Ave., Los Angeles, CA 90024",34.0599296,-118.4465677
"Onkei Ramen & Sushi","10942 Weyburn Ave., Los Angeles, CA 90024",34.0624541,-118.4466502
"Poke Bar","1135 Westwood Blvd., Los Angeles, CA 90024",34.0599768,-118.4452511
"San Sai Japanese Grill","10904 Lindbrook Dr., Los Angeles, CA 90024",34.0593505,-118.4449146
"Tomodachi Sushi","10975 Weyburn Ave., Los Angeles, CA 90024",34.0622436,-118.4478007
"NUSHII: Sushi Burritos & Bowls","1055 Broxton Ave., Los Angeles, CA 90024",34.0614745,-118.4464653
"Sweetfin Poke","1146 Westwood Blvd., Los Angeles, CA 90024",34.059878,-118.444609
"BIBIBOP Asian Grill","1059 Broxton Ave., Los Angeles, CA 90024",34.061434,-118.446446
"Kopan Ramen","1091 Broxton Ave., Los Angeles, CA 90024",34.0609989,-118.4460249
"Kaido Japanese Cuisine","1049 Gayley Ave., Los Angeles, CA 90024",34.0610395,-118.4474114
"STK Los Angeles","930 Hilgard Ave., Los Angeles, CA 90024",34.0633123,-118.440862
"The Tuck Room Tavern","10840 Wilshire Blvd., Los Angeles, CA 90024",34.0592367,-118.4413426
"Rocco’s Tavern","1000 Gayley Ave., Los Angeles, CA 90024",34.0618939,-118.4476878
"Fellow Los Angeles","1071 Glendon Ave., Los Angeles, CA 90024",34.0611797,-118.4445541
"Broxton","1099 Westwood Blvd., Los Angeles, CA 90024",34.0611317,-118.4456822
